DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
MEDICIÓN DEL EMPLEO EN EL SECTOR TURÍSTICO,COLOMBIA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,"MINISTERIO DE COMERCIO, INDUSTRIA Y TURISMO",ENCUESTA POR MUESTREO,Producir estadísticas sobre la medición del empleo en el sector turístico,,,,Cargo*género*edad*lugar de residencia principal del empleado*niveles de estudio más alto y dominio de inglés. Categoría*Vinculación laboral*Categoría*Duración de la jornada. Categoría *Categoría según horas trabajadas*cargo*edad*género*ubicación*nivel de estudio más alto y dominio del inglés (Categoría),Total de empleados*Total horas trabajadas*Total horas trabajadas*perfil del empleado*déficit de empleo,Municipal,,,,,Mensual,,,Publico en general,,
MEDICIÓN ESTRATEGIA DE RENDICIÓN DE CUENTAS,COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA (DAFP),CENSO,Hacer seguimiento a la estrategia de rendición de cuentas en cada uno de los componentes establecidos.,,,,Sector administrativo*Plan estratégico sectorial e institucional*Caracterización de ciudadanos* usuarios y grupos de interés*Planeación de la estrategia de participación*Publicación de información mínima obligatoria y por transparencia activa*Canales de comunicación virtuales* masivos y presenciales*Medios de convocatoria a la ciudadanía*Espacios y mecanismos de participación definidos*Temas sobre los cuales se convoca a participar*Niveles de participación que se promueven*Grupos de interés que participan*Acciones de Promoción de la participación ciudadana,Promedios de los componentes*gestión*información*Diálogo*incentivos y evaluación,Nacional,,,,,Anual,,,"*) La misma entidad: Dirección de Empelo Público - Dirección DAFP
 • Presidencia
 • congreso
 • Ministerio de Justicia
 • Ministerio de Defensa
 • Ministerio del interior
 • Cancillería
 • Ministerio de Hacienda y Crédito Público
 • Ministerio de Minas Y Energía
 • Ministerio de Comercio
 • Min de Tecnologías de la Información y las Comunicaciones TIC
 • Ministerio de Cultura
 • Ministerio de Agricultura
 • Ministerio de Ambiente
 • Ministerio de Transporte
 • Ministerio de Vivienda
 • Ministerio de Educación
 • Ministerio de Trabajo
 • Ministerio de Salud
 • Departamento Nacional de Planeación DNP
 • Departamento Administrativo Nacional de Estadística DANE
 • Departamento de la Prosperidad Social
 • Policía Nacional
 • El Departamento Administrativo del Deporte * la Recreación * la Actividad Física y el Aprovechamiento del Tiempo Libre – COLDEPORTES - 
 • Departamento Administrativo de Ciencia * Tecnología e Innovación * Colciencias
 • Procuraduría General de la Nación
 • Contraloría General de la Republica
 • Escuela Superior de Administración Pública
 • Colombia Compra Eficiente
 • Portal Gobierno en Línea",,
MEDICIÓN POSICIÓN PROPIA DE LOS INTERMEDIARIOS DEL MERCADO CAMBIARIO,COLOMBIA,,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,REGISTRO ADMINISTRATIVO,"Medir la posición en moneda extranjera de los intermediarios cambiarios, con el fin de realizar seguimiento al comportamiento de la variable",,,,Posición propia (posiciones activas y pasivas en moneda extranjera de los intermediarios cambiarios*posición propia de los intermediarios cambiarios*posición propia de contado de los intermediarios cambiarios )*patrimonio técnico de las entidades,Datos de la posición propia del sistema financiero*POSICION PROPIA*POSICIÓN PROPIA DE CONTADO*INDICADORES DE EXPOSICIÓN DE CORTO PLAZO,Nacional,,,,,Mensual Semanal,,,Público en general,,
MONITOREO DE PRECIOS DE LA CARNE DE CERDO,COLOMBIA,,,SOCIEDAD CIVIL,"FONDO NACIONAL DE LA PORCICULTURA 
 (ASOCIACIÓN COLOMBIANA DE PORCICULTORES)",ENCUESTA POR MUESTREO,"Monitorear el comportamiento de los precios de los cortes de la carne de cerdo que se comercializan en expendios en las ciudades de Bogotá, Cali, Medellín y eje cafetero.",,,,Precio por kilogramo de al menos 20 cortes comerciales del cerdo,Precio promedio Quincenal por kilogramo por corte de la carne de cerdo*Precio promedio mensual por kilogramo por corte de la carne de cerdo*Indicador Precio promedio quincenal y mensual por kilogramo por de la carne de cerdo en expendios.,Municipal,,,,,Quincenal,,,"* Asociación Colombiana de Porcicultores
 * Porcicultores",,
MOVIMIENTO INMOBILIARIO,COLOMBIA,,,SECTOR PÚBLICO,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,REGISTRO ADMINISTRATIVO,Dar a conocer a los ciudadanos en general el comportamiento del movimiento inmobiliario en Colombia,,,,Compraventas*Hipotecas*Remates*Sucesiones*Embargos*Cancelacion de Embargos*Certificados de Tradicion y Libertad*Sucesiones,número de Compraventas*número de Hipotecas*número de Permutas*número de Embargos*número de Cancelación de Embargos*número de certificados de Tradición y Libertad * número de Sucesiones,Nacional*Regional*Área metropolitana*Departamental*Municipal,,,,,Trimestral,,,"Nivel Central de la Superintendencia de Notariado Y Registro (SNR)
 Entidades judiciales y administrativas
 Nivel Central SNR – Divulgación y Comunicaciones
 Unión Colegiada del Notariado Colombiano –U.C.N.C-
 Ministerio de Agricultura
 UPRA",,
MOVIMIENTO NOTARIAL COLOMBIANO,COLOMBIA,,,SECTOR PÚBLICO,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,REGISTRO ADMINISTRATIVO,Dar a conocer a los ciudadanos en general el comportamiento del movimiento notarial en Colombia.,,,,Autenticacion de documentos y firmas*Actas de comparecencia*Declaraciones extraproceso*Conciliaciones*Registros Civiles*Unions maritales entre personas del mismo sexo*remates*Divorcios*Matrimonios Civiles*Escrituras por Constitucion de sociedades*Escrituras por liquidacino de sociedad*Escrituras por reforma de sociedades*Escrituras por compraventas*Esrituras por permutas,número de divorcios*número de Matrimonios civiles*número de Registro civiles de Matrimonios*número de Registro civil de Nacimiento*número de Autenticaciones*número de conciliaciones*número de escrituras de vivienda de interés social,Nacional*Regional*Área metropolitana*Departamental*Municipal,,,,,Trimestral,,,"Nivel Central de la Superintendencia de Notariado Y Registro SNR
 Entidades judiciales y administrativas
 Nivel Central SNR – Divulgación y Comunicaciones
 Unión Colegiada del Notariado Colombiano –U.C.N.C-
 Ministerio de Agricultura
 UPRA",,
MUESTRA MENSUAL DE HOTELES (MMH),COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,"Producir información coyuntural del comportamiento de las actividades de hoteles, aparta hoteles, hostales, centros vacacionales y zonas de camping a través de índices, variaciones y participaciones.",,,,Ingresos*personal ocupado*porcentaje de ocupacion*motivo de viaje*tarifas por tipo de acomodacion,Variaciones (%) de los ingresos reales*Variaciones (%) del personal ocupado*Porcentaje de ocupación empresas forzosas*Motivo de viaje huéspedes mensual*Motivo de viaje huéspedes año corrido*Motivo de viaje huéspedes residentes mensual*Motivo de viaje huéspedes residentes año corrido*Motivo de viaje huéspedes no residentes mensual*Motivo de viaje huéspedes no residentes año corrido*Índices de ingresos y personal*Índices tarifas promedio por habitación*Coeficientes de variación,Nacional,SI,XLS,http://www.dane.gov.co/files/investigaciones/boletines/mts/anexos_mts_Itri16.xls,23/08/2016,Mensual,1er trimestre 2016,,Entidades gubernamentales: Nacionales y territoriales como MINCIT * IDT * Gremios * como COTELCO academia * como UNIVERSIDAD EXTERNADO * centros de investigación * investigadores. Cuentas nacionales,,
MUESTRA TRIMESTRAL DE AGENCIAS DE VIAJES (MTA),COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,Producir información coyuntural sobre el comportamiento de las agencias de viajes a través de índices y variaciones.,,,,Ingresos*personal ocupado,Variaciones (%) de los ingresos nominales*Variaciones (%) del personal ocupado*Índices*Coeficientes de variación,Nacional,SI,XLS,http://www.dane.gov.co/files/investigaciones/boletines/agen_viajes/anexos_mtav_Itrim16.xls,13/08/2016,Trimestral,1er trimestre 2016,,Entidades gubernamentales: Nacionales y territoriales * como el VICEMINISTERIO DE COMERCIO * INDUSTRIA Y TURISMO * Gremios * como ANATO Y ANDI *academia * centros de investigación * investigadores. Cuentas nacionales,,
MUESTRA TRIMESTRAL DE COMERCIO EXTERIOR DE SERVICIOS (MTCES),COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,"presentar la información de exportaciones e importaciones de servicios realizadas por
 las unidades económicas residentes en Colombia, a fin de determinar la posición internacional del
 país y generar herramientas que permitan la adecuada formulación de políticas públicas",,,,Variables de clasificación(Tipo de Servicio Código CABPS*Modo de transacción*País de origen o destino*moneda de transacció)* Variables de estudio(Tipo de servicios (Código CABPS)*Valor del servicio*Modo de transacción y país de origen o destinúmero),Variables de clasificación(Tipo de Servicio Código CABPS*Modo de transacción*País de origen o destino*moneda de transacción)*Variables de estudio(Tipo de servicios (Código CABPS)*Valor del servicio*Modo de transacción y país de origen o destino),Nacional,SI,XLS,http://www.dane.gov.co/files/investigaciones/boletines/comercio_exterior_servicios/Anex_Impor_MTCES_2013p_2016p_I_tri2016.xls http://www.dane.gov.co/files/investigaciones/boletines/comercio_exterior_servicios/Anex_Expor_MTCES_2013p_2016p_I_tri2016.xls,23/08/2016,Trimestral,1er trimestre 2016,,Entidades gubernamentales: Nacionales y territoriales,,
MUESTRA TRIMESTRAL DE SERVICIOS (MTS),COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,"Conocer el comportamiento económico en el corto plazo, a través de índices y variaciones de los ingresos y el personal ocupado de los servicios objeto de estudio, para el total nacional.",,,,Ingresos por actividadeconómica*personal ocupado por: sección o actividad*categoría ocupacional y según sección o actividad,Índices nominales de ingresos*índice de personal y variaciones de ingresos y personal,Nacional,SI,XLS,http://www.dane.gov.co/files/investigaciones/boletines/mts/anexos_mts_Itri16.xls,23/08/2016,Trimestral,2016,,Público en general * Cuentas nacionales.,,
MUESTRA TRIMESTRAL DE SERVICIOS BOGOTÁ (MTSB),COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,"Conocer el comportamiento económico de las actividades de: restaurantes, catering y bares; almacenamiento y actividades complementarias al transporte; telecomunicaciones; inmobiliarias y alquiler de maquinaria; educación superior privada; salud humana privada; otras de entretenimiento y otros servicios; producción de películas cinematográficas y programas de televisión; informática; actividades administrativas y de apoyo, de oficina y otras actividades; actividades de empleo, seguridad e investigación privada; publicidad; actividades de programación y transmisión de televisión, agencias de noticias; actividades profesionales, científicas y técnicas; correo y servicios de mensajería; en el corto plazo, a través de la generación de índices y variaciones de los ingresos y el personal ocupado, para la ciudad Bogotá.",,,,Personal Ocupado por(Sección o Actividad*categoría ocupacional*y según sección o actividad)*Ingresos por(Actividad Económica*tipo de Ingreso*según sección o actividad),Variación anual de ingresos nominales operacionales por actividad económica*Variación año corrido de ingresos nominales operacionales por actividad económica*Variación doce meses de ingresos nominales operacionales por actividad económica*Variación anual de ingresos nominales operacionales por tipo de ingreso según sección o actividad*Variación año corrido de ingresos nominales operacionales por tipo de ingreso y según sección o actividad*Variación doce meses de ingresos nominales operacionales por tipo de ingreso y según sección o actividad*Variación anual del personal ocupado por sección o actividad*Variación año corrido del personal ocupado por sección o actividad*Variación doce meses del personal ocupado por sección o actividad*Variación anual del personal ocupado por categoría ocupacional y según sección o actividad*Variación año corrido del personal ocupado por categoría ocupacional y según sección o actividad*Variación doce meses del personal ocupado por categoría ocupacional y según sección o actividad*Serie índices de la Muestra Trimestral de Servicios de Bogotá,Municipal,SI,XLS,http://www.dane.gov.co/files/investigaciones/boletines/mtsb/anexos_mtsb_I2016.xls,22/06/2016,Trimestral,2016,,secretaría de desarrollo económico * cuentas nacionales,,
MUESTRA TRIMESTRAL MANUFACTURERA REGIONAL (MTMR),COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,"Detectar a corto plazo los cambios que se generan en el sector manufacturero de Bogotá y 6 regiones mas, medidos a través de las variaciones trimestrales de empleo, producción, ventas, en las diferentes actividades fabriles según CIIU Rev.4 A.C.",,,,Produccion*ventas*personal ocupado.,Índices de las principales variables*Variación anual y contribución de la producción industrial*ventas y personal ocupado según agrupación industrial*Variación año corrido y contribución de la producción industrial*ventas y personal ocupado según agrupación industrial*Variación acumulada anual y contribución de la producción industrial*ventas y personal ocupado según agrupación industrial*Producción real Ventas Reales*Personal Ocupado*Personal ocupado según tipo de contratación*Personal Ocupado según categoría de contratación*Variaciones de producción real de alimentos y bebidas*Coeficientes de variación estimados por agrupación,Regional*Área metropolitana*Municipal,SI,XLS,http://www.dane.gov.co/index.php/estadisticas-por-tema/industria/muestra-trimestral-manufacturera-regional/anexos-muestra-trimestral-manufacturera-regional-i-trimestre-de-2016,22/08/2016,Trimestral,2016,,asociación nacional de industriales -andi * asociación colombiana de industriales del calzado * cuero * y sus manufacturas -acicam * asociación colombiana de la industria de la comunicación gráfica - andigraf *centros de investigacion,,
NUEVOS USUARIOS CON EL SERVICIO DE ENERGÍA ELÉCTRICA,COLOMBIA,11 CIUDADES Y COMUNIDADES SOSTENIBLES,,SECTOR PÚBLICO,MINISTERIO DE MINAS Y ENERGÍA,REGISTRO ADMINISTRATIVO,Presentar los usuarios que actualmente no cuentan con el servicio de energía eléctrica y a quienes se les va a brindar este servicio. Es una estimación del número de usuarios que se beneficiarán con las inversiones públicas aprobadas y las inversiones privadas.,,,,usuarios conectados al Sistema de Transmisión Nacional mediante proyectos financiados con recursos públicos*proyectos de expansión de los operadores de red con cargo a la tarifa y usuarios a quienes se les brinde el servicio con soluciones aisladas al Sistema Interconectado Nacional,Número de nuevos usuarios con servicio de energía eléctrica,Departamental,,,,,Anual,,,Agremiaciones * empresas del sector * Entidades (DNP),,
OBRAS FLUVIALES CONSTRUIDAS Y OBRAS DE MANTENIMIENTO Y PROFUNDIZACIÓN DE CANALES DE ACCESO,COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,INSTITUTO NACIONAL DE VÍAS,REGISTRO ADMINISTRATIVO,"Relacionar el número de obras construidas y mantenidas anualmente, dentro de un período de Gobierno",,,,Número obras fluviales construidas o mantenidas terminadas*número obras fluviales construidas o mantenidas programadas*número de obras de profundización o mantenimiento terminadas*número de obras de profundización o mantenimiento programadas,Obras fluviales construidas y mantenidas*Obras de profundización o mantenimiento de canales de acceso,Nacional,,,,,Trimestral,,,En la misma entidad: Oficina asesora de planeación y dirección general,,
OCURRENCIA DE ENFERMEDADES DE DECLARACIÓN OBLIGATORIA EN FINCAS DE PRODUCCIÓN PECUARIA,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),REGISTRO ADMINISTRATIVO,"Contar con información actualizada y oportuna sobre la dinámica de agentes, infecciones y patologías que puedan afectar a la producción pecuaria del país.",,,,Especies de animales afectadas*cuadrante epidemiológico*tipo de explotación*diagnóstico*vacunaciones* medidas sanitarias*otros,Estatus sanitario a nivel Nacional,Nacional*Departamental*Municipal,,,,,Semanal,,,Instituto Colombiano Agropecuario * Federación colombiana de Ganaderos FEDEGAN * Ministerio de Agricultura y Desarrollo Rural * asociacion Nacional de Porciacultores,,
OCURRENCIA DE ENFERMEDADES DIFERENTES A LAS DE DECLARACIÓN OBLIGATORIA EN FINCAS DE PRODUCCIÓN PECUARIA,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),REGISTRO ADMINISTRATIVO,Proveer información actualizada y oportuna sobre la dinámica de agentes infecciosos y patológicos diferentes a las enfermedades de declaración obligatoria.,,,,Especies de animales afectadas*número de predios afectados*enfermedad*diagnóstico,Estatus sanitario a nivel Nacional Incidencia (Medida de los nuevos casos de una enfermedad que se desarrollan en un periodo de tiempo)*Prevalencia (P)(Medida de casos existentes de una enfermedad en un momento determinado o a través de un periodo de tiempo,Nacional*Departamental*Municipal,,,,,Semestral,,,Instituto Colombiano Agropecuario * Federación colombiana de Ganaderos FEDEGAN * Ministerio de Agricultura y Desarrollo Rural * asociacion Nacional de Porciacultores,,
OPERACIONES DE CRÉDITO PÚBLICO,COLOMBIA,,,SECTOR PÚBLICO,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO,REGISTRO ADMINISTRATIVO,"Registrar las operaciones de crédito público de las entidades estatales con el fin de conocer los saldos y movimientos, la composición del portafolio de la deuda pública y reportar las afectaciones de cupo de endeudamiento y garantías de la nación",,,,Acreedor*deudor*monto de crédito*moneda*fecha de irma*destinación de los recuros*fuente de financiación*soporte de la opración*garantías*porcentaje de la garantía*tipo de entidad*plazo*periodicidad de pago amortización e intereses*fecha inicial y final de pago amortización e intereses*tasas de interés*spead*tipo de mes -corriente o comercial*dias base,Tipo de movimientos de gobierno nacional (amortización*intereses comisiones)*plazo,Nacional,,,,,Mensual Semestral Trimestral,,,Contraloria General de la República * Contaduría General de la Nación * Banco de la República,,
PERMISOS CITES (CONVENCIÓN SOBRE EL COMERCIO INTERNACIONAL DE ESPECIES AMENAZADAS DE FAUNA Y FLORA SILVESTRES),COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE (MADS),REGISTRO ADMINISTRATIVO,"Disponer de información del nombre y el uso de las especies (flora y fauna) que son objeto de aprovechamiento, y de información del control del tráfico ilegal de especies silvestres",,,,Especie*descripcion*clasificacion de acuerdo al tiop de amenzada (CITES apendice I* II ó III)*cantidad de individuos*fin de la transaccion (zoologico*cautiverio*investigacion* comercio)*número del permiso*tipo de transacción (exportación*reexportación*importanción*otro),Especie*descripción*clasificación de acuerdo al tipo de amenazada (CITES apéndice I*II ó III)*cantidad de individuos*fin de la transacción (zoológico*cautiverio*investigación*comercio)*número del permiso*tipo de transacción (exportación*reexportación*importación*otro),Nacional,,,,,anual,,,Academia * Ministerio de Ambiente * Convención internacional co Convención sinternacional de especies amenazadas de fauna y flora silvestres.,,
POSICIÓN DE INVERSIÓN INTERNACIONAL (PII) DE COLOMBIA,COLOMBIA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,MÚLTIPLES FUENTES,Conocer el saldo de la posición en activos de no residentes o lingotes de oro mantenidos en calidad de activos de reserva y los pasivos de los residentes de la economía colombiana con el resto del mundo,,,,Iinversión directa en el extranjero*acciones y otras participaciones de capital y utilidades reinvertidas*activos frente a empresas filiales*pasivos frente a empresas filiales*otro capital*inversión de cartera*títulos de participación en el capital*autoridades monetarias*gobierno general*bancos*otros sectores*títulos de deuda*bonos y pagares*instrumentos del mercado monetario*instrumentos financieros derivados*otra inversión*créditos comerciales*a corto plazo*préstamos*autoridades monetarias *moneda y depósitos*autoridades monetarias*activos de reserva*otro monetario*derechos especiales de giro*posición de reserva en el fmi*divisas*monedas y depósitos*pasivos*inversión directa en la economía declarante*acciones y otras participaciones de capital y utilidades*activos frente a inversionistas directos*pasivos frente a inv,Cuenta financiera*inversión directa*inversión de cartera*otra inversión (préstamos y otros créditos)*activos de reservas,Nacional,,,,,Trimestral,,,Ministerio de Hacienda y crédito público * DANE * Academía,,
POTENCIAL DE VIVIENDA EN LOS MACROPROYECTOS DE INTERÉS SOCIAL NACIONAL (MISN) ADOPTADOS,COLOMBIA,11 CIUDADES Y COMUNIDADES SOSTENIBLES,,SECTOR PÚBLICO,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO (MVCT)",REGISTRO ADMINISTRATIVO,Contar con datos estadísticos de los potenciales de vivienda en los macro proyectos de interés social nacional (MISN) adoptados,,,,Número de Macroproyectos de Interés Social Nacional (MISN) Adoptados,Número de Soluciones de vivienda con suelo habilitado en norma de Macro proyecto de Interés Social Nacional-MISN,Departamental,,,,,Anual,,,"Internos: Viceministerio de vivienda y oficina asesora de planeación
 
 Externos: Departamento Nacional de Planeación DNP",,
POTENCIALES Y METAS DE EFICIENCIA ENERGÉTICA - PROGRAMA DE USO RACIONAL Y EFICIENTE DE ENERGÍA Y FUENTES NO CONVENCIONALES EN COLOMBIA (PROURE),COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Proyectar potenciales y metas de eficiencia energética,,,,Variables resultantes de los estudios de caracterización de consumo energético*brechas tecnológicas*etc (UPME) en los diferentes sectores,Estructura de producción y estructura de consumo en energéticos primarios*consumo final de energía por sectores*potenciales y metas de ahorro de electricidad (Series de tiempo),Nacional,,,,,Quinquenal,,,Público en general (Academia * Entidades Públicas y Privadas),,
PRECIO BASE DE NÍQUEL,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Tener información disponible sobre el precio base para liquidación de regalías de níquel,,,,Precio CIF*Costo flete marítimo*Costo de transporte interno*Costos de manejo y de procesamiento en horno*tasa de cambio,Series de precio base para liquidación de regalías de níquel,Nacional,,,,,Trimestral,,,Productor de Níquel * ANM * MME * Público en general,,
PRECIOS BASE DE CARBÓN PARA LIQUIDAR REGALÍAS.,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Tener información disponible sobre el los precios base de carbón térmico, metalúrgico y antracita para pago de regalías.",,,,Precios internacionales CIF*Precios FOB*Exportaciones*Tasa representativa del mercado*Costos de transporte origen - destino SICE*Ministerio de Transporte* Costos en centros de acopio-manejo*Precios de compra del mineral en planta*Costos portuarios*IPP*IPC,Series de los precios base de carbón térmico*metalúrgico y antracita para pago de regalías,Nacional,,,,,Trimestral,,,Agencia Nacional de Minería *Ministerio de Minas y Energía *DANE *Empresarios mineros *público en general.,,
PRECIOS BASE PARA LIQUIDAR REGALÍAS DE MINERALES METÁLICOS EXCEPTO NÍQUEL,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Tener información disponible sobre los precios base de los minerales metálicos excepto Níquel.,,,,Precio de venta internacional*en el evento de que disponga de estudios sobre costos de transporte*fletes*manejo y portuarios para el mineral de exportación*la UPME podrá aplicar un descuento menor al veinte por ciento (20%)*Sumatoria de los costos de producción por unidad del mineral en Colombia*de acuerdo con la información que suministre(n) el(los) titular(es) minero(s) que se encuentren en etapa de explotación para el mismo mineral*Sondeo del mercado interno del mineral*cuando se tenga disponible información de alguna fuente recomendada por un estudio base*del precio de compraventa al consumidor final del mineral extraído en el territorio nacional*IPP e IPC,Series de los precios base de los minerales metálicos excepto Níquel,Nacional,,,,,Trimestral,,,Agencia Nacional de Minería *Ministerio de Minas y Energía *DANE *Empresarios mineros *público en general.,,
PRECIOS BASE PARA LIQUIDAR REGALÍAS DE MINERALES NO METÁLICOS,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Tener información disponible sobre los precios de los minerales no metálicos.,,,,Costos de producción asociados al proceso de explotación por unidad del mineral en Colombia de acuerdo con la información que suministre(n) el(los) titular (es) minero(s) que se encuentren en etapa de explotación para el mismo mineral*El precio de venta internacional de una publicación seleccionada por la UPME como indicador de mercado del mineral*con una deducción correspondiente a los costos de transporte*fletes*manejo y portuarios para el mineral de exportación*Mediante un sondeo del mercado interno del mineral*encuestas directas a los explotadores y/o comercializadores*o fuentes indirectas como registros o datos estadísticos de los precios de compraventa al consumidor final del mineral extraído en el territorio nacional,Series de los precios de los minerales no metálicos,Nacional,,,,,Anual,,,Agencia Nacional de Minería *Ministerio de Minas y Energía *DANE *Empresarios mineros *público en general.,,
PRECIOS DE LA PANELA,COLOMBIA,,,SOCIEDAD CIVIL,FEDERACIÓN NACIONAL DE PRODUCTORES DE PANELA (FEDEPANELA),REGISTRO ADMINISTRATIVO,"Conocer y hacer un seguimiento al precio de la panela que se paga a los productores, conocer el margen de ganancia de la comercializaciones, la variación del precio entre el productor y el intermediario y los precios que paga el consumidor",,,,presentaciones de la panela*valor de la panela (precios en plazas mayoristas*grandes superficies*al consumidor*al productor),Precios semanales de la Panela al productor y promedio Nacional Ponderado,Nacional*Regional*Departamental*Municipal,,,,,Semanal,,,ministerio de agricultura * el gremio panelero * particulares * universidades y asistencia tecnica,,
PRECIOS DE LOS ENERGÉTICOS EN LOS SECTORES INDUSTRIAL Y DE TRANSPORTE EN ALGUNAS CIUDADES DEL PAÍS,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Recolectar, evaluar y analizar, mensualmente durante un año , el precio de los energéticos en algunos subsectores de la industria manufacturera y del sector transporte en algunas ciudades del país",,,,Precio y consumos de los energéticos en subsectores de la industria manufacturera*Precios de combustibles en transporte,Series de precios y consumos de la industria manufacturera y de combustibles en transporte,Nacional,,,,,Anual,,,Público en General,,
PRECIOS DE REFERENCIA MENSUALES AGROPECUARIOS,COLOMBIA,,,SECTOR PRIVADA,BOLSA MERCANTIL DE COLOMBIA (BMC),REGISTRO ADMINISTRATIVO,"Contar con una serie histórica de precios mensuales que sirvan de base al mercado para diferentes estudios: volatilidad histórica de precios, variación mensual de precios y creación de índices",,,,Producto*sitios de entrega*precio promedio*franja de precios*cantidades,IRent(Índice de rentabilidad de operaciones repos sobre CDM)*Se publican cifras de(*Aceite crudo de palma Arroz blanco*Arroz cáscara*Café pergamino*Café pasilla*Novillo*Maíz blanco*Maíz amarillo importado EE.UU*Maíz amarillo nacional*Azúcar blanca*Frijol Nima*Frijol bola roja*Frijol soya,Nacional*Área metropolitana*Municipal,,,,,Mensual Semanal,,,"Bolsa Mercantil de Colombia
 Finagro
 MADR( Ministerio de Agricultura)
 Gremios( CONALGODON) * FENALCE(FEDERACIÓN NACIONAL DE CULTIVADORES DE CEREALES Y LEGUMINOSAs) 
 Centros de Investigación y Universidades",,
"PRECIOS REGIONALES DE CEREALES, LEGUMINOSAS Y FRIJOL SOYA",COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,"FEDERACION NACIONAL DE CULTIVADORES DE CEREAL, LEGUMINOSAS Y FRIJOL SOYA (FENALCE)",MÚLTIPLES FUENTES,"Hacer un seguimiento de los productos representados, con el propósito contar con una herramienta para la toma de decisiones del subsector.",,,,Precios de cereales*Precios de leguminosas*Centros de acopio precios de frijol soya,Precios por producto a nivel regional y nacional,Departamental,,,,,Mensual,,,Productores Industria y Ministerio Agricultura * Universidades,,
